Age,Gender,Education Level,Marital Status,Income,Credit Score,Loan Amount,Loan Purpose,Employment Status,Years at Current Job,Payment History,Debt-to-Income Ratio,Assets Value,Number of Dependents,City,State,Country,Previous Defaults,Marital Status Change,Risk Rating,,
28,Female,High School,Divorced,115018,789,23529,Personal,Employed,11,Good,0.477100764,290952,3,Crystalfort,DE,Kazakhstan,3,1,Low,,
50,Male,Bachelor's,Married,65097,695,9075,Home,Employed,15,Excellent,0.21071361,261860,0,Collinsfort,NV,North Macedonia,1,1,Low,,
63,Male,PhD,Single,77429,759,44021,Home,Employed,5,Excellent,0.599780541,184873,0,Danielburgh,MA,Paraguay,2,2,Low,,
46,Female,Master's,Widowed,39779,697,25633,Business,Self-employed,1,Poor,0.133090077,178046,0,North Joshua,NJ,United Arab Emirates,1,2,Medium,,
49,Male,High School,Divorced,116204,601,36592,Personal,Employed,19,Good,0.361680715,204610,3,Phelpsberg,GU,Martinique,4,2,Low,,
42,Male,Master's,Widowed,40860,642,7714,Home,Self-employed,17,Poor,0.254516071,85955,0,Lake Matthew,MN,Gibraltar,4,0,Low,,
18,Male,Bachelor's,Divorced,63578,681,26888,Business,Employed,12,Fair,0.101710802,49558,2,North Shannonmouth,IA,Venezuela,4,0,Low,,
46,Non-binary,Bachelor's,Divorced,75059,712,43731,Auto,Unemployed,10,Good,0.303833546,151900,0,Davisberg,NE,Falkland Islands (Malvinas),2,0,Low,,
30,Female,High School,Divorced,41169,724,40579,Home,Self-employed,18,Poor,0.44328749,279796,3,East Tanyamouth,MH,Greece,2,1,Medium,,
55,Male,PhD,Widowed,62139,646,18866,Personal,Self-employed,6,Good,0.157969835,89608,0,Smithchester,NH,Palestinian Territory,0,1,Low,,
64,Non-binary,Bachelor's,Married,56232,616,13412,Home,Employed,19,Good,0.503807938,120505,3,East Courtneychester,UT,French Guiana,1,0,Medium,,
56,Male,Bachelor's,Married,27377,764,25336,Personal,Employed,8,Excellent,0.541219387,194672,1,Rogerhaven,MD,Guam,1,1,Low,,
64,Non-binary,High School,Widowed,97395,734,21023,Auto,Unemployed,13,Excellent,0.57080097,42195,4,Mccoychester,FL,Comoros,4,1,Low,,
39,Female,Master's,Divorced,89285,678,25265,Business,Employed,5,Excellent,0.194536861,205832,4,South Reneemouth,KY,Bulgaria,0,0,Low,,
53,Non-binary,Bachelor's,Divorced,86686,745,25179,Business,Unemployed,0,Fair,0.41998485,296629,4,Wilsonshire,CO,Malta,0,1,Low,,
21,Female,High School,Single,80750,753,40310,Home,Self-employed,6,Poor,0.326085409,201804,1,Lake Linda,NM,Kazakhstan,1,0,Low,,
40,Male,Master's,Single,63774,790,34778,Auto,Unemployed,3,Fair,0.474315905,223709,4,Andrewfort,MT,Cocos (Keeling) Islands,0,1,Low,,
18,Male,High School,Married,118550,753,17210,Auto,Employed,0,Good,0.17219268,258358,3,West Kevinborough,TX,Tajikistan,1,1,High,,
69,Female,Bachelor's,Single,78769,696,42025,Home,Self-employed,16,Poor,0.385595487,233249,4,Garciaton,MI,Turks and Caicos Islands,2,2,High,,
43,Non-binary,Bachelor's,Widowed,48554,714,38533,Business,Employed,4,Excellent,0.142873447,147409,2,Port Adamland,VA,Tanzania,3,2,Medium,,
49,Female,High School,Married,45651,772,46555,Business,Self-employed,10,Fair,0.328010095,252580,3,South Connorborough,TX,Peru,3,2,Medium,,
56,Female,Bachelor's,Single,91435,621,18449,Auto,Unemployed,7,Good,0.114376012,223183,2,Josephton,NC,Bulgaria,3,1,Low,,
68,Male,High School,Married,35935,743,27776,Personal,Employed,8,Fair,0.596879509,59195,1,Rodriguezstad,LA,Bhutan,0,0,Low,,
19,Male,High School,Married,72445,658,20020,Auto,Employed,7,Poor,0.331755166,264709,4,Nielsenmouth,NH,China,1,0,Medium,,
39,Female,Master's,Single,28496,776,36065,Home,Employed,9,Fair,0.112312955,114730,0,South Frank,MP,Micronesia,4,1,Low,,
54,Male,PhD,Widowed,69060,759,26208,Home,Unemployed,15,Excellent,0.233388536,35169,4,Evansmouth,MO,Niger,0,0,High,,
54,Female,Master's,Divorced,104846,661,10489,Auto,Self-employed,10,Fair,0.168312328,90173,0,Cherylshire,AL,Fiji,4,2,Low,,
27,Female,Bachelor's,Widowed,70697,721,22622,Personal,Unemployed,6,Excellent,0.252202757,132445,2,Alexandraside,MH,Bahamas,0,1,Medium,,
23,Male,High School,Married,70604,615,23134,Home,Employed,3,Good,0.381272482,40636,2,Port Jillian,UT,Micronesia,0,0,Low,,
62,Male,High School,Widowed,40615,731,5540,Auto,Employed,12,Fair,0.512723836,184809,3,Jillton,VA,Palestinian Territory,4,1,Low,,
32,Non-binary,High School,Married,113621,684,29988,Personal,Employed,4,Fair,0.20787645,110022,3,Morganland,NY,Yemen,1,2,Medium,,
30,Non-binary,High School,Widowed,24629,647,11045,Business,Employed,7,Excellent,0.109681648,264339,3,Jonesstad,NH,Central African Republic,3,0,Low,,
18,Male,Bachelor's,Widowed,25605,751,14785,Auto,Unemployed,17,Fair,0.33994669,285745,3,Samanthastad,MI,Congo,1,1,High,,
40,Male,PhD,Widowed,24789,693,33765,Home,Employed,1,Good,0.115423248,223747,3,West Lindafort,ND,Croatia,4,2,Low,,
18,Non-binary,Bachelor's,Married,36756,608,13957,Personal,Unemployed,0,Fair,0.154814037,245075,4,Port Jessica,FL,Tanzania,2,1,High,,
60,Female,High School,Married,118818,657,26277,Business,Self-employed,9,Excellent,0.240221979,20179,1,Clarkton,MN,Moldova,0,0,Low,,
39,Non-binary,Bachelor's,Married,78168,700,20173,Home,Self-employed,5,Excellent,0.41177976,67339,1,West James,NE,Saint Barthelemy,0,1,Low,,
40,Female,Master's,Divorced,41323,627,45691,Personal,Unemployed,17,Good,0.325915227,272492,3,Lake John,NV,Christmas Island,3,1,Medium,,
60,Non-binary,Bachelor's,Divorced,88197,651,12371,Personal,Employed,9,Poor,0.173459234,212217,2,Lake Heatherstad,OR,Slovakia (Slovak Republic),4,2,Medium,,
26,Female,Master's,Widowed,103481,747,28878,Home,Self-employed,2,Good,0.345698329,40295,2,East Kimberly,NH,Lesotho,4,1,Low,,
43,Non-binary,Bachelor's,Married,118162,684,20698,Personal,Unemployed,2,Poor,0.319343902,283288,3,Christopherhaven,FM,Slovenia,2,1,High,,
64,Non-binary,Bachelor's,Single,86612,627,30674,Personal,Employed,7,Good,0.364857292,58414,0,Lake Patrickburgh,RI,Barbados,1,0,Low,,
32,Female,Master's,Single,78144,740,11493,Business,Unemployed,13,Excellent,0.556800003,275191,4,Josephland,MP,Indonesia,2,0,Low,,
67,Female,PhD,Divorced,73730,771,15128,Home,Self-employed,6,Good,0.464274544,182617,0,Meganmouth,MP,Norway,0,1,Medium,,
53,Male,High School,Divorced,101550,676,5275,Personal,Unemployed,2,Fair,0.454924415,52688,4,South Janet,MN,Antigua and Barbuda,4,1,Medium,,
29,Female,Bachelor's,Divorced,110033,614,10919,Home,Employed,6,Good,0.545556603,263840,4,North Erika,VA,Belize,3,0,Medium,,
36,Female,PhD,Married,78995,705,47750,Business,Employed,10,Excellent,0.553490157,90187,1,North Oscarland,CA,Albania,1,2,Medium,,
28,Male,PhD,Divorced,115220,793,19661,Home,Unemployed,6,Excellent,0.151759359,44541,1,New Rickey,NC,New Zealand,0,2,Low,,
32,Non-binary,High School,Divorced,48702,792,49275,Auto,Unemployed,7,Poor,0.559843363,143193,3,South Eric,MI,Georgia,1,2,Low,,
64,Female,Master's,Widowed,49870,761,33253,Auto,Unemployed,10,Poor,0.206389175,135060,2,Carolburgh,VA,Mayotte,0,2,High,,
68,Male,Bachelor's,Widowed,103682,788,14290,Personal,Employed,12,Excellent,0.173644683,38473,0,Gregorychester,NV,Saint Lucia,3,0,Medium,,
38,Non-binary,Bachelor's,Widowed,94453,621,18510,Personal,Employed,15,Good,0.340783852,52098,2,New Antonio,ID,Slovakia (Slovak Republic),4,2,Medium,,
34,Non-binary,Master's,Divorced,102864,736,33353,Personal,Employed,0,Excellent,0.187664353,98944,3,North Lindaport,CO,Austria,4,1,Low,,
41,Non-binary,High School,Divorced,46000,679,31176,Home,Unemployed,4,Good,0.58511296,293135,2,North Kelly,ME,Tonga,3,1,Medium,,
55,Non-binary,Master's,Divorced,108264,702,10524,Home,Self-employed,5,Excellent,0.327115328,162234,3,North Kristinaborough,WV,Sao Tome and Principe,4,1,Medium,,
31,Male,Bachelor's,Married,87592,766,22949,Home,Self-employed,5,Fair,0.396950268,105171,2,Danieltown,MS,Costa Rica,2,2,Low,,
45,Non-binary,Master's,Married,69515,712,28752,Home,Employed,6,Good,0.26586579,101761,3,Timothyport,OH,Mali,2,2,Low,,
19,Male,Bachelor's,Married,103230,704,16382,Home,Unemployed,17,Fair,0.374057272,214556,4,Winterschester,HI,Serbia,2,0,Low,,
45,Female,PhD,Widowed,30677,764,16809,Business,Self-employed,6,Good,0.184523492,205069,3,Ashleyberg,NV,Seychelles,3,2,Medium,,
23,Female,PhD,Divorced,95886,657,31065,Business,Self-employed,14,Excellent,0.481272075,171038,2,Deanburgh,ME,Pitcairn Islands,3,0,Medium,,
39,Non-binary,Bachelor's,Married,43438,635,38202,Auto,Employed,0,Fair,0.352971945,75027,1,Lake Jeanettechester,OK,Saint Barthelemy,3,0,Low,,
42,Female,Bachelor's,Single,103220,781,47726,Personal,Unemployed,14,Poor,0.410534599,231498,3,Bishopfurt,DE,Seychelles,0,2,Low,,
39,Female,High School,Married,105455,701,39395,Business,Unemployed,0,Poor,0.323423958,168154,3,Blakeport,NH,Korea,2,0,Low,,
43,Female,Master's,Married,33580,729,46142,Home,Employed,17,Excellent,0.270738278,171226,2,Tonyborough,AR,Uruguay,0,0,Low,,
67,Female,High School,Single,98473,609,10826,Home,Employed,12,Poor,0.189135773,146692,1,North Toddport,CT,Gibraltar,3,1,Medium,,
49,Non-binary,Master's,Divorced,57964,784,32939,Personal,Self-employed,13,Excellent,0.138727072,271637,4,Lake Scott,OR,Djibouti,3,2,High,,
51,Female,High School,Married,87471,727,46306,Personal,Self-employed,0,Excellent,0.374027958,243131,0,North Kyleburgh,GA,United States Minor Outlying Islands,3,2,Low,,
21,Non-binary,Bachelor's,Single,67673,756,45423,Auto,Employed,8,Fair,0.48673235,140600,1,Harveyshire,PR,United States Virgin Islands,4,0,Medium,,
34,Female,High School,Divorced,60711,794,49036,Personal,Employed,2,Excellent,0.207778046,40929,0,Jamesburgh,AR,French Polynesia,1,1,Low,,
59,Non-binary,Bachelor's,Widowed,119770,610,31312,Home,Self-employed,2,Excellent,0.336343682,254292,3,North Jeremy,OK,Bahamas,4,0,Low,,
42,Non-binary,PhD,Married,51139,721,9237,Business,Self-employed,11,Good,0.19056768,92048,2,Brownshire,IA,Bulgaria,0,2,Low,,
38,Female,Master's,Widowed,105470,655,29558,Business,Employed,5,Excellent,0.211032539,299540,4,East Cody,IA,Colombia,4,1,Low,,
20,Female,Master's,Married,80598,780,6800,Auto,Employed,10,Fair,0.528132886,62849,3,Lake Richard,CO,Cambodia,3,1,Low,,
62,Female,Bachelor's,Single,86247,655,38399,Home,Unemployed,8,Fair,0.553008547,34909,3,Williamsshire,DC,Japan,3,0,Medium,,
36,Female,Bachelor's,Married,82645,789,7434,Home,Self-employed,3,Excellent,0.268418396,118671,3,Ruizstad,ND,Netherlands,1,1,High,,
22,Male,Bachelor's,Married,70396,698,49006,Business,Unemployed,4,Excellent,0.310770515,48579,4,New Timothyville,MT,Zambia,4,1,Low,,
41,Female,Master's,Married,74232,674,23283,Auto,Unemployed,9,Good,0.502526394,182391,1,South Matthew,FL,Palestinian Territory,1,2,Medium,,
46,Female,High School,Divorced,91255,768,6770,Personal,Self-employed,14,Fair,0.545419804,31422,2,Lopezstad,MT,Cayman Islands,4,2,Medium,,
59,Non-binary,High School,Divorced,35847,771,17607,Home,Employed,0,Fair,0.245397554,118020,3,Port Tylerbury,SC,Sierra Leone,1,0,Medium,,
56,Female,PhD,Divorced,54121,717,40278,Home,Self-employed,17,Good,0.388242584,158292,1,Lake Anthonyfurt,SC,Congo,1,1,Medium,,
64,Female,High School,Divorced,109616,676,12385,Personal,Self-employed,12,Excellent,0.479812569,178465,3,Port Noahside,VT,Indonesia,3,1,Low,,
61,Male,PhD,Single,88305,776,38182,Personal,Unemployed,6,Good,0.424870631,233276,1,West Thomaston,WV,Nauru,4,2,High,,
42,Female,PhD,Widowed,73533,604,43940,Personal,Self-employed,11,Fair,0.179724188,48664,3,New Jeremymouth,LA,Thailand,1,2,Low,,
53,Female,PhD,Single,90875,712,45981,Business,Employed,6,Poor,0.404206693,190957,4,New Luis,VI,Algeria,0,1,Medium,,
56,Male,Master's,Widowed,98243,680,36289,Auto,Employed,10,Poor,0.411054316,65437,0,Perezmouth,TX,Micronesia,2,0,Medium,,
31,Non-binary,High School,Single,64293,731,30491,Home,Self-employed,1,Fair,0.198747862,289128,4,Davisstad,IN,Latvia,2,0,Low,,
61,Female,High School,Single,74941,694,49180,Home,Self-employed,8,Poor,0.466038635,220759,2,Freemanfort,AS,Tonga,4,2,Low,,
66,Non-binary,Master's,Single,110404,773,12169,Home,Self-employed,6,Poor,0.196919094,178774,1,New Rebecca,NJ,Niue,2,2,Medium,,
59,Non-binary,High School,Widowed,76614,660,31369,Home,Self-employed,8,Excellent,0.456146793,156578,3,Pittmanburgh,FM,Myanmar,1,0,Low,,
29,Female,High School,Widowed,75822,777,14013,Personal,Unemployed,16,Poor,0.563368263,208818,0,Kellimouth,VT,Singapore,3,0,Low,,
53,Male,PhD,Single,21073,624,48927,Auto,Self-employed,17,Poor,0.195759599,295156,1,Randymouth,WA,Heard Island and McDonald Islands,2,2,Low,,
33,Male,Bachelor's,Divorced,106287,720,46599,Personal,Unemployed,3,Poor,0.550111841,87798,3,Jacobfort,VA,France,0,1,Low,,
25,Male,High School,Widowed,112724,665,32967,Home,Unemployed,3,Poor,0.263697635,288405,0,South Michael,PA,Hong Kong,4,2,Low,,
64,Female,Bachelor's,Single,80563,780,33424,Personal,Unemployed,6,Fair,0.142577359,231622,1,South Cynthiashire,FM,Liberia,2,0,Medium,,
23,Female,Bachelor's,Single,51509,654,31579,Auto,Employed,1,Good,0.167672408,89921,0,Yateshaven,CO,Western Sahara,4,2,Low,,
62,Male,Master's,Divorced,86126,614,32243,Personal,Employed,18,Poor,0.260633051,129150,4,Powellstad,MI,Bosnia and Herzegovina,3,2,Low,,
19,Male,High School,Widowed,23404,623,47752,Auto,Unemployed,3,Poor,0.249608538,206358,1,Johnnyberg,MN,Indonesia,0,1,Low,,
55,Female,Master's,Widowed,47041,725,10072,Auto,Employed,19,Fair,0.42131035,126134,1,Jamesview,WV,Svalbard & Jan Mayen Islands,3,1,Low,,
33,Female,High School,Married,34118,754,12090,Business,Employed,1,Poor,0.179701847,126246,3,Dianaburgh,PR,Swaziland,1,2,Medium,,
19,Male,High School,Divorced,81791,784,23211,Business,Unemployed,4,Fair,0.219931434,270787,4,New Andrew,KS,Papua New Guinea,0,0,Medium,,
19,Male,Bachelor's,Widowed,72035,764,49228,Home,Unemployed,18,Fair,0.358724569,223917,4,Port Sandra,VA,Lesotho,3,0,Low,,
62,Female,PhD,Divorced,116129,743,16426,Auto,Employed,11,Fair,0.303374165,226135,2,Deanberg,AZ,Bhutan,2,1,Low,,
42,Non-binary,Bachelor's,Divorced,110036,683,31506,Auto,Self-employed,18,Good,0.204191404,203696,1,New Jason,AL,Guernsey,2,2,Low,,
21,Non-binary,PhD,Single,112783,717,42150,Business,Self-employed,3,Poor,0.598452908,149881,1,East Gregory,GU,Mauritius,1,0,Low,,
25,Male,PhD,Widowed,39564,610,44606,Auto,Employed,16,Fair,0.57067883,276370,0,Kathyshire,NJ,Bahrain,1,0,High,,
43,Male,Bachelor's,Divorced,94248,742,19202,Business,Employed,19,Poor,0.476915918,213838,4,Sharpland,LA,Nauru,0,0,Low,,
62,Female,Master's,Single,78900,603,12020,Personal,Unemployed,11,Fair,0.153595451,143561,3,Maryburgh,DE,Lithuania,4,2,Low,,
56,Female,High School,Married,64514,724,27346,Personal,Self-employed,14,Poor,0.288852208,257013,1,Harrischester,MT,Niger,3,2,Medium,,
35,Non-binary,PhD,Single,93567,727,31399,Business,Unemployed,1,Excellent,0.425641922,133862,3,East Brandon,OR,Maldives,0,1,Low,,
30,Non-binary,Master's,Widowed,68533,668,46860,Business,Unemployed,4,Fair,0.586484222,56327,1,South Allisontown,NJ,Ireland,2,1,Medium,,
